Package 	 Class 	 numberOfMethods 	 lcom 	 avcc 	 nos 	 hbug 	 heff 	 uwcs 	 inst 	 pack 	 rfc 	 cbo 	 mi 	 ccml 	 nloc 	 fin 	 dit 	 minc 	 sr 	 rr 	 coh 	 lmc 	 lcom2 	 maxcc 	 hvol 	 hier 	 nqu 	 fout 	 six 	 ext 	 nsup 	 tcc 	 nsub 	 mpc 	 nco 	 intr 	 ccom 	 hlth 	 mod 	 NumberOfDefects 	 Defective
edu.cmu.sphinx.linguist.dflat	DynamicFlatLinguist$GrammarState	19	0.09722222222222222	1.894736842105263	115	1.1381737146044213	45258.77591385547	23	1	1	19	6	83.01190700339876	116	140	0	1	115.23357011037251	0.0	0.5	0.34210526315789475	1	65.0	8	3414.521143813264	1	7	6	0.0	1	1	36	0	0	12	0	19	747	0	0	FALSE
edu.cmu.sphinx.util	ReferenceSource	1	0.0	1.0	2	0.0065365468248122695	29.414460711655217	1	0	1	1	1	115.98466903083934	6	3	1	1	148.2063321378131	0.0	0.0	0.0	0	1.0	1	19.60964047443681	0	1	0	0.0	0	0	1	0	0	0	0	2	9	1	0	FALSE
edu.cmu.sphinx.tools.datacollection.client	AudioCollectorPresentationApplet	14	0.0979020979020979	1.9285714285714286	155	2.0264855751121886	81592.53722273104	36	1	1	15	6	102.58590740927534	57	181	1	1	102.35014701699305	0.0	0.5	0.13636363636363635	1	58.0	8	6079.456725336566	1	5	5	0.0	1	1	27	0	1	9	1	13	1088	1	0	FALSE
edu.cmu.sphinx.decoder.search	SinglePathThroughHMMKey	3	0.0	2.0	17	0.20811571471041493	7910.7320885355575	4	1	1	3	23	117.82709941232761	0	27	2	1	117.82709941232761	0.0	0.0	1.0	0	1.0	4	624.3471441312448	0	0	21	0.0	1	0	6	0	0	3	0	0	139	0	0	FALSE
edu.cmu.sphinx.tools.batch	BatchForcedAlignerRecognizer	4	2.0	1.5	19	0.2448287053495782	3531.45630506725	6	1	1	4	13	107.3775084121632	22	27	1	2	125.25032868377446	0.5	0.5	0.0	1	6.0	2	734.4861160487346	1	0	12	0.08	1	2	6	1	0	4	0	1	170	1	0	FALSE
edu.cmu.sphinx.linguist.dflat	DynamicFlatLinguist$FlatSearchState	17	1.0	1.0588235294117647	34	0.191453898929892	1627.8260974816035	18	1	1	17	3	126.28373613854856	87	51	0	1	144.15655641015982	0.0	0.0	0.0	1	76.0	2	574.361696789676	0	8	3	0.0	1	0	18	0	0	9	1	17	178	1	0	FALSE
com.sun.speech.engine.recognition	BaseResult$BaseResultToken	9	0.75	1.0	20	0.08769615198824636	674.3307803862845	10	1	1	9	1	145.0085987212941	0	14	0	1	145.0085987212941	0.0	0.0	0.3333333333333333	0	18.0	1	263.08845596473907	0	2	1	0.0	0	0	9	0	0	7	1	0	86	1	0	FALSE
edu.cmu.sphinx.util	CommandInterpreter$CommandInterface_12	2	0.0	4.0	33	0.37153938112905815	26343.533612862102	2	0	1	2	1	93.32367318320304	0	39	0	1	93.32367318320304	0.0	0.0	0.0	0	2.0	7	1114.6181433871745	1	2	1	0.0	1	0	8	0	0	0	0	0	208	0	0	FALSE
edu.cmu.sphinx.decoder.search	SortingActiveListFactory	4	0.3333333333333333	1.0	21	0.22607701335559727	3426.442255577217	9	1	1	4	8	73.35489170448166	41	29	1	1	121.83190259925755	0.0	0.0	0.45	0	4.0	1	678.2310400667918	0	2	7	0.0	1	0	4	0	0	2	1	7	153	1	0	FALSE
edu.cmu.sphinx.frontend.util	EnergyPlotter	5	0.0625	2.4	39	0.415747497460803	14050.4831854768	9	1	1	5	3	130.25051009095495	91	49	0	1	112.11676617531901	0.0	0.0	0.3	1	6.0	3	1247.242492382409	0	2	3	0.0	1	0	12	0	0	3	0	8	273	1	0	FALSE
